Num,Accession ID,Lineage,Type
69,EPI_ISL_14595360,B.1.617.2,Delta
70,EPI_ISL_14595067,BE.2,Omicron BA.5
71,EPI_ISL_14595844,AY.43,Delta
72,EPI_ISL_14608728,BA.5.6,Omicron BA.5
73,EPI_ISL_14617149,BE.1.1,Omicron BA.5
74,EPI_ISL_14625291,BA.5.2.1,Omicron BA.5
75,EPI_ISL_14906853,BA.5.5,Omicron BA.5
76,EPI_ISL_14456417,BA.5.1,Omicron BA.5
77,EPI_ISL_14632405,BL.1,Omicron BA.2
78,EPI_ISL_14639796,BF.5,Omicron BA.5
79,EPI_ISL_14640326,BF.5,Omicron BA.5
80,EPI_ISL_14639226,BA.5.2,Omicron BA.5
81,EPI_ISL_14639108,BA.5.2.1,Omicron BA.5
82,EPI_ISL_14647462,BF.4,Omicron BA.5
83,EPI_ISL_14647208,BA.5.2,Omicron BA.5
84,EPI_ISL_14655051,BA.5.2.1,Omicron BA.5
85,EPI_ISL_14650829,BA.4.6.4,Omicron BA.4
86,EPI_ISL_14647896,BA.2.38,Omicron BA.2
87,EPI_ISL_14655921,BU.2,Omicron BA.5
88,EPI_ISL_14656184,BA.5.2.1,Omicron BA.5
89,EPI_ISL_14662219,BA.4.4,Omicron BA.4
90,EPI_ISL_14666153,BA.5.2,Omicron BA.5
91,EPI_ISL_14666049,BE.1.1,Omicron BA.5
92,EPI_ISL_14665601,BA.5.2.26,Omicron BA.5
93,EPI_ISL_14665545,BA.5.1,Omicron BA.5
94,EPI_ISL_14670569,BA.1.1,Omicron BA.1
95,EPI_ISL_14667667,BA.5.1,Omicron BA.5
96,EPI_ISL_14666983,BA.5.2.1,Omicron BA.5
97,EPI_ISL_14676491,BA.5.2,Omicron BA.5
98,EPI_ISL_14674310,BA.5.2,Omicron BA.5
99,EPI_ISL_14674262,BA.5.1.3,Omicron BA.5
100,EPI_ISL_14674237,BA.2,Omicron BA.2
101,EPI_ISL_14685688,BF.5,Omicron BA.5
102,EPI_ISL_14683505,BA.5.1,Omicron BA.5
103,EPI_ISL_14687496,BA.5.1.23,Omicron BA.5
104,EPI_ISL_14694306,BA.5.2,Omicron BA.5
105,EPI_ISL_14693652,BA.5.1,Omicron BA.5
106,EPI_ISL_14694074,BA.5.1,Omicron BA.5
107,EPI_ISL_14693400,BA.5.1.2,Omicron BA.5
108,EPI_ISL_14701642,BA.5.2.1,Omicron BA.5
109,EPI_ISL_14698860,BE.1.1,Omicron BA.5
110,EPI_ISL_14698215,BA.5.1,Omicron BA.5
111,EPI_ISL_14706036,BA.4.1,Omicron BA.4
112,EPI_ISL_14706052,BA.4.1,Omicron BA.4
113,EPI_ISL_14705608,BA.5.9,Omicron BA.5
114,EPI_ISL_14708236,BA.4.1.8,Omicron BA.4
115,EPI_ISL_14709608,BA.5.1.5,Omicron BA.5
116,EPI_ISL_14710790,BA.5.2.1,Omicron BA.5
117,EPI_ISL_14707292,BA.5.2.31,Omicron BA.5
118,EPI_ISL_14711487,BA.5.1,Omicron BA.5
119,EPI_ISL_14709233,BA.5.2.1,Omicron BA.5
120,EPI_ISL_14710373,BA.4,Omicron BA.4
121,EPI_ISL_14717160,BA.5.1,Omicron BA.5
122,EPI_ISL_14467693,BA.5.1.24,Omicron BA.5
123,EPI_ISL_14725513,BF.13,Omicron BA.5
124,EPI_ISL_14722980,BA.2.75.4,Omicron BA.2
125,EPI_ISL_14732223,BA.5.2.1,Omicron BA.5
126,EPI_ISL_14728261,BA.1.1,Omicron BA.1
127,EPI_ISL_14728479,BA.5.2.1,Omicron BA.5
128,EPI_ISL_14737681,BA.5,Omicron BA.5
129,EPI_ISL_14736035,BA.5.2,Omicron BA.5
130,EPI_ISL_14742024,BF.7,Omicron BA.5
131,EPI_ISL_14739441,BE.1,Omicron BA.5
132,EPI_ISL_14742458,BA.5.1,Omicron BA.5
133,EPI_ISL_14738477,BA.4.6,Omicron BA.4
134,EPI_ISL_14738588,BA.5.2.21,Omicron BA.5
135,EPI_ISL_14742622,BA.5.6,Omicron BA.5
136,EPI_ISL_14743427,BA.5.2.1,Omicron BA.5
137,EPI_ISL_14745567,BA.5.1,Omicron BA.5
138,EPI_ISL_14745633,BA.5.1.1,Omicron BA.5
139,EPI_ISL_14735164,BA.2.12.1,Omicron BA.2
140,EPI_ISL_14752641,BA.5.1,Omicron BA.5
141,EPI_ISL_14749026,AY.129,Delta
142,EPI_ISL_14755155,BF.7,Omicron BA.5
143,EPI_ISL_14757886,BA.5.2,Omicron BA.5
144,EPI_ISL_14768690,BA.5.1,Omicron BA.5
145,EPI_ISL_14765722,BA.5.2,Omicron BA.5
146,EPI_ISL_14765935,BE.1.1,Omicron BA.5
147,EPI_ISL_14762003,BA.2.12.1,Omicron BA.2
148,EPI_ISL_14773150,BA.5.2.1,Omicron BA.5
149,EPI_ISL_14774041,BA.5.2.6,Omicron BA.5
150,EPI_ISL_14773666,BA.5.9,Omicron BA.5
151,EPI_ISL_14773026,BA.5.2,Omicron BA.5
152,EPI_ISL_14765037,BA.2.12.1,Omicron BA.2
153,EPI_ISL_14761003,BA.2.12.1,Omicron BA.2
154,EPI_ISL_14777234,BA.5.1.22,Omicron BA.5
155,EPI_ISL_14777424,BA.5.6,Omicron BA.5
156,EPI_ISL_14770734,BA.2.75 (marker override based on Emerging Variants AA substitutions),Omicron BA.2
157,EPI_ISL_14788489,BE.1.1,Omicron BA.5
158,EPI_ISL_14470261,BA.5.2.1,Omicron BA.5
159,EPI_ISL_14784629,BA.5.2.1,Omicron BA.5
160,EPI_ISL_14795531,BA.5.2,Omicron BA.5
161,EPI_ISL_14796477,BA.5,Omicron BA.5
162,EPI_ISL_14802123,BE.3,Omicron BA.5
163,EPI_ISL_14806324,BA.5.2.9,Omicron BA.5
164,EPI_ISL_14809011,BA.5.1,Omicron BA.5
165,EPI_ISL_14809247,BA.5.2.1,Omicron BA.5
166,EPI_ISL_14808864,BE.3,Omicron BA.5
167,EPI_ISL_14808979,BA.4,Omicron BA.4
168,EPI_ISL_14808935,BA.5.2.18,Omicron BA.5
169,EPI_ISL_14810554,BF.7,Omicron BA.5
170,EPI_ISL_14718014,BA.2.12.1,Omicron BA.2
171,EPI_ISL_14816939,BA.5.1,Omicron BA.5
172,EPI_ISL_14813181,BA.5.1,Omicron BA.5
173,EPI_ISL_14808525,BA.2.12.1,Omicron BA.2
174,EPI_ISL_14818137,XAN (marker override),Omicron Recombinant
175,EPI_ISL_14827415,BE.1,Omicron BA.5
176,EPI_ISL_14823912,BA.5.6,Omicron BA.5
177,EPI_ISL_14825874,BF.5,Omicron BA.5
178,EPI_ISL_14827671,BA.5.2,Omicron BA.5
179,EPI_ISL_14827074,BA.5.5,Omicron BA.5
180,EPI_ISL_14826865,BF.10,Omicron BA.5
181,EPI_ISL_14824154,BF.10,Omicron BA.5
182,EPI_ISL_14827500,BA.5.2.1,Omicron BA.5
183,EPI_ISL_14827505,BA.5.1.3,Omicron BA.5
184,EPI_ISL_14830456,BA.5.2.33,Omicron BA.5
185,EPI_ISL_14828295,BF.26,Omicron BA.5
186,EPI_ISL_14827990,BA.5.3,Omicron BA.5
187,EPI_ISL_14834662,BA.4.6,Omicron BA.4
188,EPI_ISL_14834793,BA.5.2,Omicron BA.5
189,EPI_ISL_14834440,BF.10,Omicron BA.5
190,EPI_ISL_14835821,BA.5.1,Omicron BA.5
191,EPI_ISL_14835835,BA.5.2,Omicron BA.5
192,EPI_ISL_14834593,BA.4.6,Omicron BA.4
193,EPI_ISL_14823853,BA.2.12.1,Omicron BA.2
194,EPI_ISL_14826148,BA.2.12.1,Omicron BA.2
195,EPI_ISL_14839714,BF.4,Omicron BA.5
196,EPI_ISL_14842596,BA.4,Omicron BA.4
197,EPI_ISL_14840787,BE.1.1.2,Omicron BA.5
198,EPI_ISL_14839171,BF.1,Omicron BA.5
199,EPI_ISL_14841695,BA.2.75 (marker override based on Emerging Variants AA substitutions),Omicron BA.2
200,EPI_ISL_14846448,BF.4,Omicron BA.5
201,EPI_ISL_14842372,BA.2.75 (marker override based on Emerging Variants AA substitutions),Omicron BA.2
202,EPI_ISL_14852768,BA.5.2,Omicron BA.5
203,EPI_ISL_14855678,BA.5.5,Omicron BA.5
204,EPI_ISL_14857451,BA.5.1,Omicron BA.5
205,EPI_ISL_14857576,BE.1,Omicron BA.5
206,EPI_ISL_14857646,BA.5.1,Omicron BA.5
207,EPI_ISL_14857741,BA.5.2.16,Omicron BA.5
208,EPI_ISL_14855940,BA.5.2.1,Omicron BA.5
209,EPI_ISL_14854834,BE.1.1,Omicron BA.5
210,EPI_ISL_14854856,BF.28,Omicron BA.5
211,EPI_ISL_14862933,BA.4.1,Omicron BA.4
212,EPI_ISL_14856543,BA.2,Omicron BA.2
213,EPI_ISL_14868848,BA.5.5,Omicron BA.5
214,EPI_ISL_14868852,BE.1,Omicron BA.5
215,EPI_ISL_14868838,BF.1,Omicron BA.5
216,EPI_ISL_14868882,BA.5.2.1,Omicron BA.5
217,EPI_ISL_14868973,BF.27,Omicron BA.5
218,EPI_ISL_14868981,BF.10,Omicron BA.5
219,EPI_ISL_14868944,BA.5.2.1,Omicron BA.5
220,EPI_ISL_14869687,BA.5.2,Omicron BA.5
221,EPI_ISL_14867143,BF.28,Omicron BA.5
222,EPI_ISL_14869565,BA.4.4,Omicron BA.4
223,EPI_ISL_14869697,BA.5.1.1,Omicron BA.5
224,EPI_ISL_14869724,BA.4,Omicron BA.4
225,EPI_ISL_14869856,BF.7,Omicron BA.5
226,EPI_ISL_11563426,BA.1,Omicron BA.1
227,EPI_ISL_14877402,BF.5,Omicron BA.5
228,EPI_ISL_14883632,BA.5.2.12,Omicron BA.5
229,EPI_ISL_14881732,BF.5,Omicron BA.5
230,EPI_ISL_14881711,BE.1,Omicron BA.5
231,EPI_ISL_14882167,BA.5.2,Omicron BA.5
232,EPI_ISL_14881215,BA.2.76,Omicron BA.2
233,EPI_ISL_14887723,BA.5.1,Omicron BA.5
234,EPI_ISL_14892848,BF.7,Omicron BA.5
235,EPI_ISL_14892326,BA.5.2,Omicron BA.5
236,EPI_ISL_14898001,BA.4.6,Omicron BA.4
237,EPI_ISL_14897567,BA.4.1.8,Omicron BA.4
238,EPI_ISL_14897923,BA.5.1.22,Omicron BA.5
239,EPI_ISL_14899758,BA.5.1,Omicron BA.5
240,EPI_ISL_14899034,BA.5.5,Omicron BA.5
241,EPI_ISL_14900479,BA.5.1.10,Omicron BA.5
242,EPI_ISL_14905668,BE.3,Omicron BA.5
243,EPI_ISL_14904657,BA.5.6,Omicron BA.5
244,EPI_ISL_14905972,BA.4.6,Omicron BA.4
245,EPI_ISL_14908085,BF.10,Omicron BA.5
246,EPI_ISL_14908345,BA.5.2,Omicron BA.5
247,EPI_ISL_14906842,BA.2.75.2,Omicron BA.2
248,EPI_ISL_11676767,BA.1.1,Omicron BA.1
249,EPI_ISL_14913171,BA.5.2.1,Omicron BA.5
250,EPI_ISL_14913270,BA.5.2,Omicron BA.5
251,EPI_ISL_14921117,BA.5.1,Omicron BA.5
252,EPI_ISL_14483027,BA.5.6,Omicron BA.5
253,EPI_ISL_14917868,BE.1.1,Omicron BA.5
254,EPI_ISL_14918508,BA.5.2.1,Omicron BA.5
255,EPI_ISL_15125197,BA.2.75 (marker override based on Emerging Variants AA substitutions),Omicron BA.2
256,EPI_ISL_14484341,BA.5.2,Omicron BA.5
257,EPI_ISL_14930469,BA.5.5,Omicron BA.5
258,EPI_ISL_14929407,BA.5.5,Omicron BA.5
259,EPI_ISL_14931702,AY.3,Delta
260,EPI_ISL_14933698,BE.1,Omicron BA.5
261,EPI_ISL_13508997,B.1.320,B.1 Type
262,EPI_ISL_14934385,BF.5,Omicron BA.5
263,EPI_ISL_14931422,BA.4.6,Omicron BA.4
264,EPI_ISL_14929373,BA.5.2,Omicron BA.5
265,EPI_ISL_14934599,BA.5.2.20,Omicron BA.5
266,EPI_ISL_14941454,BA.5.2.1,Omicron BA.5
267,EPI_ISL_14945107,BF.10,Omicron BA.5
268,EPI_ISL_14940303,BA.4.1.8,Omicron BA.4
269,EPI_ISL_14486212,BA.4.1,Omicron BA.4
270,EPI_ISL_14946010,BA.5.6,Omicron BA.5
271,EPI_ISL_14952834,BA.5.1,Omicron BA.5
272,EPI_ISL_14961320,BA.5.2.1,Omicron BA.5
273,EPI_ISL_14965589,BA.5.2.28,Omicron BA.5
274,EPI_ISL_14971034,BF.27,Omicron BA.5
275,EPI_ISL_14971059,BA.2,Omicron BA.2
276,EPI_ISL_14970877,BA.5.2,Omicron BA.5
277,EPI_ISL_14971455,BA.5.6,Omicron BA.5
278,EPI_ISL_14973131,BA.4,Omicron BA.4
279,EPI_ISL_14973169,BF.21,Omicron BA.5
280,EPI_ISL_14978560,B.1.36,B.1 Type
281,EPI_ISL_14978759,B.1.36,B.1 Type
282,EPI_ISL_14975919,BA.4.7,Omicron BA.4
283,EPI_ISL_14983258,BA.5.1,Omicron BA.5
284,EPI_ISL_14983414,BA.5.6,Omicron BA.5
285,EPI_ISL_14993459,BE.1,Omicron BA.5
286,EPI_ISL_14994093,BA.5.2,Omicron BA.5
287,EPI_ISL_14998509,BA.5.2.20,Omicron BA.5
288,EPI_ISL_15002649,BA.5.1,Omicron BA.5
289,EPI_ISL_14932869,BA.5.2,Omicron BA.5
290,EPI_ISL_15001121,BA.4.6,Omicron BA.4
291,EPI_ISL_15002390,BF.23,Omicron BA.5
292,EPI_ISL_15002347,BA.4.6,Omicron BA.4
293,EPI_ISL_15008937,BA.5.5.1,Omicron BA.5
294,EPI_ISL_11928356,AY.122,Delta
295,EPI_ISL_15015204,BA.5.2.7,Omicron BA.5
296,EPI_ISL_15021506,BF.1,Omicron BA.5
297,EPI_ISL_15020221,BA.5.1,Omicron BA.5
298,EPI_ISL_15018817,BA.5.1,Omicron BA.5
299,EPI_ISL_15020000,BA.5.2.20,Omicron BA.5
300,EPI_ISL_15021487,BA.4.1,Omicron BA.4
301,EPI_ISL_15024920,BA.5.1,Omicron BA.5
302,EPI_ISL_11982125,B.1.617.2,Delta
303,EPI_ISL_15024442,BF.10,Omicron BA.5
304,EPI_ISL_15024258,BA.5.6,Omicron BA.5
305,EPI_ISL_11985055,AY.98.1,Delta
306,EPI_ISL_11993733,AY.122,Delta
307,EPI_ISL_15021435,BA.2.38,Omicron BA.2
308,EPI_ISL_15008967,BA.2,Omicron BA.2
309,EPI_ISL_15028914,BF.5,Omicron BA.5
310,EPI_ISL_15027651,BA.5.2,Omicron BA.5
311,EPI_ISL_15029022,BA.5.2,Omicron BA.5
312,EPI_ISL_15037226,BA.1.1,Omicron BA.1
313,EPI_ISL_15042493,BA.4.1,Omicron BA.4
314,EPI_ISL_15041688,BA.5.2.1,Omicron BA.5
315,EPI_ISL_15043151,BA.5.2,Omicron BA.5
316,EPI_ISL_15043275,BA.5.2.1,Omicron BA.5
317,EPI_ISL_14940025,BF.10,Omicron BA.5
318,EPI_ISL_15043659,BA.5.2,Omicron BA.5
319,EPI_ISL_15050363,BA.5.2.1,Omicron BA.5
320,EPI_ISL_15053226,BA.5.2.1,Omicron BA.5
321,EPI_ISL_15051582,BA.5.2.22,Omicron BA.5
322,EPI_ISL_15050547,BA.5.10,Omicron BA.5
323,EPI_ISL_15049561,BA.5.1,Omicron BA.5
324,EPI_ISL_15048311,BF.7,Omicron BA.5
325,EPI_ISL_15049669,BA.2,Omicron BA.2
326,EPI_ISL_14940371,BA.4,Omicron BA.4
327,EPI_ISL_15055636,BF.5,Omicron BA.5
328,EPI_ISL_14940749,BA.5.2,Omicron BA.5
329,EPI_ISL_15050379,BA.2.1,Omicron BA.2
330,EPI_ISL_15050131,BA.2.75 (marker override based on Emerging Variants AA substitutions),Omicron BA.2
331,EPI_ISL_15059152,BA.4,Omicron BA.4
332,EPI_ISL_15059127,BA.5.1.1,Omicron BA.5
333,EPI_ISL_15064636,BF.26,Omicron BA.5
334,EPI_ISL_15059268,BA.4.1,Omicron BA.4
335,EPI_ISL_15059261,BF.26,Omicron BA.5
336,EPI_ISL_14940934,BA.5,Omicron BA.5
337,EPI_ISL_15059042,BA.5.2,Omicron BA.5
338,EPI_ISL_14941239,BA.4.6,Omicron BA.4
339,EPI_ISL_14500297,BA.5.1,Omicron BA.5
340,EPI_ISL_15069639,BA.5.2.20,Omicron BA.5
341,EPI_ISL_15065864,BA.5.1,Omicron BA.5
342,EPI_ISL_15068985,BA.5.2.21,Omicron BA.5
343,EPI_ISL_15068924,BF.5,Omicron BA.5
344,EPI_ISL_15065905,BA.5.6,Omicron BA.5
345,EPI_ISL_14941905,BA.5.6,Omicron BA.5
346,EPI_ISL_15065643,BA.5.2.1,Omicron BA.5
347,EPI_ISL_15069276,BA.5.2,Omicron BA.5
348,EPI_ISL_14501127,BA.5.2.20,Omicron BA.5
349,EPI_ISL_15075113,BA.5.1,Omicron BA.5
350,EPI_ISL_15076293,BF.1,Omicron BA.5
351,EPI_ISL_15074565,BA.5.2,Omicron BA.5
352,EPI_ISL_15074578,BF.14,Omicron BA.5
353,EPI_ISL_15081205,BA.5.2,Omicron BA.5
354,EPI_ISL_15081284,BA.5.2.1,Omicron BA.5
355,EPI_ISL_15081719,BA.5.2.1,Omicron BA.5
356,EPI_ISL_12136296,BA.1.1,Omicron BA.1
357,EPI_ISL_15090459,AY.122,Delta
358,EPI_ISL_15091401,BA.5.2,Omicron BA.5
359,EPI_ISL_15094710,BA.5.2,Omicron BA.5
360,EPI_ISL_15096282,BA.5.2.1,Omicron BA.5
361,EPI_ISL_15095989,BA.5.1,Omicron BA.5
362,EPI_ISL_15093312,BA.5.2,Omicron BA.5
363,EPI_ISL_15096045,BA.5.2.1,Omicron BA.5
364,EPI_ISL_15092682,BA.5.2.9,Omicron BA.5
365,EPI_ISL_15094943,BA.5.6,Omicron BA.5
366,EPI_ISL_15096870,BA.5.2.1,Omicron BA.5
367,EPI_ISL_15091068,BA.2.10,Omicron BA.2
368,EPI_ISL_15092524,BA.2.12.1,Omicron BA.2
369,EPI_ISL_15101602,BA.2.12.1,Omicron BA.2
370,EPI_ISL_15099057,BA.5.2,Omicron BA.5
371,EPI_ISL_15098592,BA.5.2,Omicron BA.5
372,EPI_ISL_15098652,BF.5,Omicron BA.5
373,EPI_ISL_15097333,BA.4.6,Omicron BA.4
374,EPI_ISL_15103070,BA.5.2,Omicron BA.5
375,EPI_ISL_15108287,BA.5.2.1,Omicron BA.5
376,EPI_ISL_15109064,BE.1,Omicron BA.5
377,EPI_ISL_15108376,BA.5.2,Omicron BA.5
378,EPI_ISL_15114976,BA.5.2.1,Omicron BA.5
379,EPI_ISL_15112179,BA.5.5,Omicron BA.5
380,EPI_ISL_15115528,BE.1.1,Omicron BA.5
381,EPI_ISL_15117397,BA.5.2.1,Omicron BA.5
382,EPI_ISL_14987872,BA.2.75 (marker override based on Emerging Variants AA substitutions),Omicron BA.2
383,EPI_ISL_15128422,BF.7.1,Omicron BA.5
384,EPI_ISL_14818684,BA.2.38,Omicron BA.2
385,EPI_ISL_15143316,BA.1,Omicron BA.1
386,EPI_ISL_15142694,BA.5.6,Omicron BA.5
387,EPI_ISL_15142813,BA.5.2,Omicron BA.5
388,EPI_ISL_15141412,BA.5.1,Omicron BA.5
389,EPI_ISL_15142539,BE.5,Omicron BA.5
390,EPI_ISL_15144671,BF.8,Omicron BA.5
391,EPI_ISL_15142679,BA.5.5,Omicron BA.5
392,EPI_ISL_15144544,BA.5.2,Omicron BA.5
393,EPI_ISL_15142746,BA.4.6,Omicron BA.4
394,EPI_ISL_14676340,BA.2,Omicron BA.2
395,EPI_ISL_14666578,BA.2,Omicron BA.2
396,EPI_ISL_14526573,BA.5.1,Omicron BA.5
397,EPI_ISL_14526783,BF.10,Omicron BA.5
398,EPI_ISL_14530664,BA.5.2.1,Omicron BA.5
399,EPI_ISL_14533333,BA.4.6,Omicron BA.4
400,EPI_ISL_14536295,BF.7,Omicron BA.5
401,EPI_ISL_14591008,BA.2,Omicron BA.2
402,EPI_ISL_14590996,BA.2.9.5,Omicron BA.2
403,EPI_ISL_14541154,BA.2.75 (marker override based on Emerging Variants AA substitutions),Omicron BA.2
404,EPI_ISL_14478552,BA.2.36,Omicron BA.2
405,EPI_ISL_14476789,BA.2,Omicron BA.2
406,EPI_ISL_14549603,BA.5.1.22,Omicron BA.5
407,EPI_ISL_14555331,BE.1.2.1,Omicron BA.5
408,EPI_ISL_14556879,BF.10,Omicron BA.5
409,EPI_ISL_14251808,BA.2.12.1,Omicron BA.2
410,EPI_ISL_14960205,BA.5.2.1,Omicron BA.5
411,EPI_ISL_14954286,BF.5,Omicron BA.5
412,EPI_ISL_14541078,BA.4.1,Omicron BA.4
413,EPI_ISL_14582865,BA.2,Omicron BA.2
414,EPI_ISL_14968473,BA.5.2.1,Omicron BA.5
415,EPI_ISL_14593540,BE.1,Omicron BA.5
416,EPI_ISL_14593600,BE.1,Omicron BA.5
417,EPI_ISL_14970801,BA.5.2.1,Omicron BA.5
418,EPI_ISL_14595705,AY.16,Delta
419,EPI_ISL_14595522,B.1.617.2,Delta
420,EPI_ISL_14595565,B.1.617.2,Delta
421,EPI_ISL_14595426,B.1.617.2,Delta
422,EPI_ISL_14597675,BA.5.1,Omicron BA.5
423,EPI_ISL_14972783,BA.5.1.21,Omicron BA.5
424,EPI_ISL_14972480,BF.21,Omicron BA.5
425,EPI_ISL_14200430,BA.1.1.1,Omicron BA.1
426,EPI_ISL_14245351,BA.5.1.1,Omicron BA.5
427,EPI_ISL_14245359,BA.4.1,Omicron BA.4
428,EPI_ISL_14977671,BA.5.1,Omicron BA.5
429,EPI_ISL_14980217,BA.5.1,Omicron BA.5
430,EPI_ISL_14980158,BA.5.2,Omicron BA.5
431,EPI_ISL_14614948,AY.99.2,Delta
432,EPI_ISL_14615007,BA.5.2.1,Omicron BA.5
433,EPI_ISL_14617800,BA.5.2.1,Omicron BA.5
434,EPI_ISL_14582583,BA.5.2.1,Omicron BA.5
435,EPI_ISL_14582923,BG.2,Omicron BA.2
436,EPI_ISL_14582934,BA.4.2,Omicron BA.4
437,EPI_ISL_14582180,BA.2,Omicron BA.2
438,EPI_ISL_14582254,BA.5.2.1,Omicron BA.5
439,EPI_ISL_14578791,BA.5.2,Omicron BA.5
440,EPI_ISL_14578708,BA.5.2,Omicron BA.5
441,EPI_ISL_14982914,BA.2.12,Omicron BA.2
442,EPI_ISL_14980663,BA.5.1.10,Omicron BA.5
443,EPI_ISL_14624629,BF.28,Omicron BA.5
444,EPI_ISL_14971760,BA.2,Omicron BA.2
445,EPI_ISL_14642494,BE.1.2,Omicron BA.5
446,EPI_ISL_14644675,BA.2.24,Omicron BA.2
447,EPI_ISL_14645188,BA.5.2.12,Omicron BA.5
448,EPI_ISL_14649863,BA.4.6,Omicron BA.4
449,EPI_ISL_14651428,BA.5.5,Omicron BA.5
450,EPI_ISL_14659439,BA.4.6,Omicron BA.4
451,EPI_ISL_14661394,BA.5.2.1,Omicron BA.5
452,EPI_ISL_14661470,BA.5.6,Omicron BA.5
453,EPI_ISL_14662195,BA.5.2.9,Omicron BA.5
454,EPI_ISL_14662001,BA.5.6,Omicron BA.5
455,EPI_ISL_14661730,BF.6 (marker override based on Emerging Variants AA substitutions),Omicron BA.5
456,EPI_ISL_14661656,BA.5.6,Omicron BA.5
457,EPI_ISL_14992766,BA.2.10.1,Omicron BA.2
458,EPI_ISL_14664804,BA.4.6,Omicron BA.4
459,EPI_ISL_14668532,BA.5.2.9,Omicron BA.5
460,EPI_ISL_14670868,BA.5.5,Omicron BA.5
461,EPI_ISL_14670772,BA.5,Omicron BA.5
462,EPI_ISL_14674091,BA.5.1.25,Omicron BA.5
